"job_id","company_name","job_title_short","job_location","job_schedule_type","salary_year_avg","job_posted_date","skills"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","sql"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","python"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","excel"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","tableau"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","looker"
502610,"Noom","Business Analyst","Anywhere","Full-time","220000.0","2023-08-29 18:26:36","chef"
112859,"Uber","Business Analyst","Anywhere","Full-time","214500.0","2023-12-18 08:02:37","python"
17458,"Harnham","Business Analyst","Anywhere","Full-time","190000.0","2023-06-21 18:11:35","sql"
17458,"Harnham","Business Analyst","Anywhere","Full-time","190000.0","2023-06-21 18:11:35","python"
17458,"Harnham","Business Analyst","Anywhere","Full-time","190000.0","2023-06-21 18:11:35","r"
416185,"Gladly","Business Analyst","Anywhere","Full-time","170500.0","2023-12-21 09:50:43","excel"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","sql"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","python"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","bigquery"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","gcp"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","looker"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","word"
1099753,"CyberCoders","Business Analyst","Anywhere","Full-time","162500.0","2023-10-11 12:01:45","sheets"
1313937,"CyberCoders","Business Analyst","Anywhere","Full-time","145000.0","2023-06-22 13:01:41","sql"
1313937,"CyberCoders","Business Analyst","Anywhere","Full-time","145000.0","2023-06-22 13:01:41","excel"
1313937,"CyberCoders","Business Analyst","Anywhere","Full-time","145000.0","2023-06-22 13:01:41","tableau"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","sql"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","python"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","r"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","sas"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","phoenix"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","excel"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","tableau"
106225,"USAA","Business Analyst","Anywhere","Full-time","138640.0","2023-06-30 14:01:54","sas"
661103,"Get It Recruit - Marketing","Business Analyst","Anywhere","Full-time","134550.0","2023-08-03 19:59:22","tableau"
